,Rk,Wk,Date,Time,Day,Winner,Pts,,Loser,Pts,Notes
182,182,4,09/15/18,07:00:00 PM,Sat,Cincinnati,63,,Alabama A&M,7,Nippert Stadium - Cincinnati Ohio
183,183,4,09/15/18,12:00:00 PM,Sat,(2) Clemson,38,,Georgia Southern,7,Clemson Memorial Stadium - Clemson South Carolina
184,184,4,09/15/18,05:00:00 PM,Sat,Colorado,45,,New Hampshire,14,Folsom Field - Boulder Colorado
185,185,4,09/15/18,12:00:00 PM,Sat,Connecticut,56,,Rhode Island,49,Pratt & Whitney Stadium at Rentschler Field - East Hartford Connecticut
186,186,4,09/15/18,03:30:00 PM,Sat,Duke,40,@,Baylor,27,McLane Stadium - Waco Texas
187,187,4,09/15/18,04:00:00 PM,Sat,Florida,48,,Colorado State,10,Ben Hill Griffin Stadium - Gainesville Florida
188,188,4,09/15/18,06:00:00 PM,Sat,Florida Atlantic,49,,Bethune-Cookman,28,FAU Football Stadium - Boca Raton Florida
189,189,4,09/15/18,07:30:00 PM,Sat,Florida International,63,,Massachusetts,24,Riccardo Silva Stadium - Miami Florida
190,190,4,09/15/18,10:30:00 PM,Sat,Fresno State,38,@,UCLA,14,Rose Bowl - Pasadena California
191,191,4,09/15/18,12:00:00 PM,Sat,(3) Georgia,49,,Middle Tennessee State,7,Sanford Stadium - Athens Georgia
192,192,4,09/15/18,12:00:00 PM,Sat,Indiana,38,,Ball State,10,"Memorial Stadium ""The Rock"" - Bloomington Indiana"
193,193,4,09/15/18,,Sat,Iowa,38,,Northern Iowa,14,Kinnick Stadium - Iowa City Iowa
194,194,4,09/15/18,12:00:00 PM,Sat,Kansas,55,,Rutgers,14,Memorial Stadium - Lawrence Kansas
195,195,4,09/15/18,04:00:00 PM,Sat,Kansas State,41,,Texas-San Antonio,17,Bill Snyder Family Stadium - Manhattan Kansas
196,196,4,09/15/18,12:00:00 PM,Sat,Kentucky,48,,Murray State,10,Kroger Field - Lexington Kentucky
197,197,4,09/15/18,03:30:00 PM,Sat,(12) Louisiana State,22,@,(7) Auburn,21,Jordan-Hare Stadium - Auburn Alabama
198,198,4,09/15/18,07:30:00 PM,Sat,Louisville,20,,Western Kentucky,17,Cardinal Stadium - Louisville Kentucky
199,199,4,09/15/18,12:00:00 PM,Sat,(21) Miami (FL),49,@,Toledo,24,Glass Bowl - Toledo Ohio
